"","tissue","method","time"
"1","Aorta","callback",0.132827432950338
"2","Aorta","sc-SHC",0.0802868843078613
"3","Aorta","CHOIR",1.01365755001704
"4","Bladder","callback",0.313645831743876
"5","Bladder","sc-SHC",0.680050698916117
"6","Bladder","CHOIR",3.94185416698456
"7","Brain_Myeloid","callback",0.563792781035105
"8","Brain_Myeloid","sc-SHC",0.270732967058818
"9","Brain_Myeloid","CHOIR",8.71948399941127
"10","Brain_Non-Myeloid","callback",0.360212417443593
"11","Brain_Non-Myeloid","sc-SHC",1.27631560166677
"12","Brain_Non-Myeloid","CHOIR",6.60822675228119
"13","Diaphragm","callback",0.125063951810201
"14","Diaphragm","sc-SHC",0.489583230018616
"15","Diaphragm","CHOIR",1.33077379862467
"16","Fat","callback",0.564055601755778
"17","Fat","sc-SHC",1.53710921605428
"18","Fat","CHOIR",15.5678485155106
"19","Heart","callback",0.511798214912415
"20","Heart","sc-SHC",1.00805813471476
"21","Heart","CHOIR",13.1045646349589
"22","Kidney","callback",0.112099687258403
"23","Kidney","sc-SHC",0.284727565447489
"24","Kidney","CHOIR",0.95324623187383
"25","Large_Intestine","callback",0.546139351526896
"26","Large_Intestine","sc-SHC",1.23546231587728
"27","Large_Intestine","CHOIR",10.0700824817022
"28","Limb_Muscle","callback",0.167830685774485
"29","Limb_Muscle","sc-SHC",0.552384082476298
"30","Limb_Muscle","CHOIR",2.760917532444
"31","Liver","callback",0.139907650152842
"32","Liver","sc-SHC",0.32899374961853
"33","Liver","CHOIR",1.39244569937388
"34","Lung","callback",0.269641784826914
"35","Lung","sc-SHC",0.407446034749349
"36","Lung","CHOIR",3.5603057662646
"37","Mammary_Gland","callback",0.328241682052612
"38","Mammary_Gland","sc-SHC",0.695855184396108
"39","Mammary_Gland","CHOIR",6.61273020108541
"40","Marrow","callback",0.777675902843475
"41","Marrow","sc-SHC",1.89720073143641
"42","Marrow","CHOIR",12.8573718349139
"43","Pancreas","callback",0.252242883046468
"44","Pancreas","sc-SHC",0.181735066572825
"45","Pancreas","CHOIR",3.50513875087102
"46","Skin","callback",0.383040384451548
"47","Skin","sc-SHC",1.35214338302612
"48","Skin","CHOIR",5.9284968495369
"49","Spleen","callback",0.196967701117198
"50","Spleen","sc-SHC",0.43946388165156
"51","Spleen","CHOIR",5.20102468331655
"52","Thymus","callback",0.196306482950846
"53","Thymus","sc-SHC",0.52796250184377
"54","Thymus","CHOIR",11.0883652011553
"55","Tongue","callback",0.230818768342336
"56","Tongue","sc-SHC",0.949958884716034
"57","Tongue","CHOIR",5.25774951775869
"58","Trachea","callback",0.242125868797302
"59","Trachea","sc-SHC",1.03947908480962
"60","Trachea","CHOIR",5.70694773197174
